Levisticum officinale root extract,Poor,
licorice extract,Best,"Plant extract that has skin-soothing properties. In addition, licorice root may be effective in..."
licorice root,Best,
Lilium candidum bulb extract,Average,Extract derived from the white lily bulb. There is no research showing this has any benefit for...
lime oil and extract,Poor,Citrus fruit whose volatile compounds are sensitizing...
Limnanthes alba,Good,Plant commonly known as meadowfoam; its seed oil is a non-volatile plant oil used as a...
Limnanthes alba seed oil,Good,
limonene,Poor,"Chemical constituent of many natural fragrant ingredients, notably citrus oils such as lemon (d-limonene) and..."
linalool,Poor,"Fragrant component of lavender and coriander that can be a skin sensitizer, or..."
linden flower extract,Best,Major constituents in linden are flavonoids and glycosides. Flavonoids are potent...
linoleic acid,Best,Unsaturated fatty acid used as an emollient and thickening agent in cosmetics. There is some...
linolenic acid,Best,"Linolenic acid is a naturally-occurring, colorless polyunsaturated fatty acid liquid..."
linseed oil,Best,Non-volatile plant oil. Linoleic acid is a component of linseed oil.\xa0
Linum usitatissimum extract,Best,
lipid,Best,"Wide range of ingredients found in plants, animals, and human skin. Lipids include fatty acids,..."
liposomes,Good,Delivery system (not an ingredient) capable of holding other ingredients and releasing them after...
lithium magnesium sodium silicate,Good,"Synthetic silica-based clay composed of lithium, sodium, and magnesium. Used as a thickening agent..."
Lithospermum erythrorhizon,Best,"Also known as gromwell, the root of this plant is believed to have antioxidant and..."
Litsea cubeba,Poor,
locust bean,Good,
Lonicera caprifolium flower extract,Best,
Lonicera japonica ,Best,Honeysuckle extract. A plant with soothing properties for skin.
Lonicera japonica flower extract,Best,
loquat extract,Best,Extract derived from a subtropical flower that has antioxidant properties similar to...
lotus seed extract,Best,Extract that can have soothing and antioxidant properties...
lovage root extract,Poor,"In cosmetics, it is used as a fragrance...."
lupine,Good,Legume that is a source of isoflavones with antioxidant properties...
lupine oil,Average,"Extract of Lupinus albus, a legume; it has emollient and antioxidant properties, though it may also..."
Lupinus albus extract,Good,Species of legume.
lutein,Best,Carotenoid that has antioxidant properties…
Lycium barbarum fruit extract,Good,"The extract of the fruit commonly known as goji, goji berry, or wolfberry. This fruit extract is an antioxidant..."
lycopene,Best,Carotenoid pigment that has potent antioxidant properties…
lye,Poor,
lysine,Good,Amino acid.
macadamia nut oil,Good,Used in cosmetics as an emollient for dry skin.
madecassoside,Best,One of four principal bioactive compounds in the plant extract Centella asiatica.
magnesium,Good,Earth mineral that has strong absorbent properties and some disinfecting properties…
magnesium aluminum silicate,Good,"Powdery, dry-feeling, white solid that is used as a thickening agent and powder in cosmetics."
magnesium ascorbyl palmitate,Good,Fatty acid-based\xa0derivative of vitamin C that can be an effective antioxidant. There is some...
magnesium ascorbyl phosphate,Best,Form of vitamin C that is considered stable and an effective antioxidant for skin (Sources:...
magnesium carbonate,Good,"Inorganic mineral salt used as an absorbent, opacifying agent, coloring agent, or to adjust the pH..."
magnesium hydroxide,Good,Active ingredient in milk of magnesia. It is an absorbent and has disinfectant properties for skin.
magnesium laureth sulfate,Good,Mild detergent cleansing agent.
magnesium oleth sulfate,Good,Mild detergent cleansing agent.
magnesium stearate,Good,Used as a thickening agent in cosmetics.
magnesium sulfate,Good,"Commonly known as Epsom salt, a magnesium salt used as a texture enhancer."
Mahonia aquifolium root extract,Good, 'A plant extract known as Orgeon grape...
malic acid,Best,An AHA ingredient derived from unripe fruit that also occurs naturally in the human body…
mallow,Best,Can be used as a texture enhancer in cosmetics and may have soothing...
maltodextrin,Good,"A plant-based sugar created by hydrolyzing a saccharide with starch from corn, potato, or rice."
maltooligosyl glucoside,Good, 'A carbohydrate polysaccharide that’s naturally-derived and then combined...
malvaceae extract,Average,"Extract from plants of the Malvaceae family, which includes over 1,000 species, found in tropical..."
Malva sylvestris extract,Good,"Extract from the blue mallow flower, it may have some soothing properties for..."
mandarin orange oil or extract,Poor,Primarily used as a fragrance; it can be a skin sensitizer. There is no research showing it has any...
mandelic acid,Good,"A type of alpha hydroxy acid (AHA), also known as amygdalic acid. There’s some research showing mandelic acid is an effective exfoliant, although it’s not as effective as glycolic acid due to its larger size..."
manganese gluconate,Average,Mineral found in trace amounts in tissues of the body. While manganese plays a vital role in the...
manganese violet,Good,"Coloring agent/additive permanently listed (as of 1976) by the FDA for use in cosmetic products,..."
Mangifera indica (mango) seed butter,Best,"More commonly known as mango butter, this ingredient is a very good plant-based..."
Mangifera indica root,Good,Extract derived from the mango tree; it can have antioxidant properties (Source: Journal of...
manuka oil,Good,Extract derived from the New Zealand tea tree; the oil is similar to that of the Australian tea...
marigold,Good,
marionberry,Good,Fruit that has potent antioxidant properties.
marjoram,Poor,Herb with a fragrant component used in cosmetics; can be a skin sensitizer…
marshmallow,Best,A flowering plant native to Africa that has soothing effects...
Mastocarpus stellatus,Good,
mate extract,Best,
matricaria oil,Best,
MEA,Average,Abbreviation for monoethanolamine.
meadowfoam seed oil,Good,"Non-fragrant, edible plant oil originally developed as an agricultural crop in the 1950s. It..."
meadowsweet extract,Best,Extract that can have skin-soothing properties...
Medicago sativa,Best,
Melaleuca alternifolia,Good,
Melaleuca cajeputi oil,Poor,"There is no research showing that this oil, which is derived from a plant in the same family as the..."
Melia azadirachta extract,Best,
Melia azadirachta oil,Poor,
melibiose,Good,Saccharide that can have good water-binding properties.
Melissa officinalis,Poor,
Mentha arvensis,Poor,
Mentha piperita,Poor,
Mentha spicata,Poor,
Mentha viridis,Poor,
menthol,Poor,Derived from peppermint; menthol can have the same sensitizing effect as peppermint on skin…
menthone,Poor,Major constituent of peppermint.
menthoxypropanediol,Poor,Synthetic derivative of menthol. It is known to produce effects that are twice as strong as...
menthyl anthranilate,Best,"Also known as meradimate, this is a synthetic sunscreen active is a partially effective UVA..."
menthyl lactate,Poor,Used as a cooling agent and fragrance in cosmetics. It is a derivative of menthol and is supposed...
meradmiate,Best,
methanol,Poor,
methicone,Good,One of the simpler silicones due to its less complex molecular structure.
methionine,Good,
methylchloroisothiazolinone,Poor,"In combination with methylisothiazolinone, it goes by the trade name Kathon CG (among others)...."
methyldibromo glutaronitrile,Poor,Formaldehyde-releasing preservative...
methyldihydrojasmonate,Poor,Synthetic fragrant component.
methyl gluceth-20,Good,Liquid that functions as a water-binding and skin-conditioning agent.
methyl gluceth-20 benzoate,Good, 'A synthetic ester and emollient used to improve product spreadability. Methyl...
methyl glucose sesquistearate,Good,A mixure of the diesters of methyl glucoside and stearic acid. Functions as a skin-conditioning...
methylglucoside phosphate,Good,"A type of monosaccharide (simple sugar) derived from glucose, it serves as a skin-conditioning agent..."
methylisothiazolinone,Poor,Preservative that’s generally recommended for use only in rinse-off products such as cleansers or...
methylparaben,Good, 'Parabens are a group of controversial preservatives that include butylparaben...
methylpropanediol,Good,Glycol that functions as a solvent. Methylpropanediol can enhance ingredients such as salicylic acid.
methylsilanol mannuronate,Good,
methylsilanol PEG-7 glyceryl cocoate,Good,A glyceryl ester used as an emollient and texture enhancer in cosmetics.
methylsufonylsulfate,Good,
methyl trimethicone,Good,
Mexoryl SX,Best,
mica,Good,Earth mineral included in products to give them sparkle and shine.
microcrystalline wax,Good,"Plastic-type, highly refined wax derived from petroleum. Used as a thickener and to give products a..."
Microcystis aeruginosa,Good,Latin name for spirulina.
milk protein,Good,
milk vetch root,Good,"Root with potential antioxidant properties, although there isn't conclusive research that it functions that way when applied topically."
millet seed extract,Average,"Extract from a cereal grain that has no established benefit for skin, but is added to cosmetic..."
mimosa oil or extract,Poor,Extract used as a fragrance in cosmetics.
mineral oil,Good,"Clear, odorless oil derived from petroleum that is widely used in cosmetics because it rarely..."
mint,Poor,Can be a skin sensitizer…
mixed fruit extracts,Good,
montan wax,Good,"A type of natural wax derived from lignite, which is a type of coal that’s made from wood. Most..."
montmorillonite,Good,"A type of clay that is a mix of bentonite and fuller's earth, with the latter being a white to brown substance found in sediment..."
Morinda citrifolia,Good,
Morus alba root extract,Good,Latin name for mulberry.
Morus bombycis root extract,Good,
Morus nigra root extract,Good,
mucopolysaccharide,Best,Also known as glycosaminoglycans. This is a large class of ingredients that includes hyaluronic...
Mucor miehei extract,Average,Extract of a type of mold whose enzymes are used as a food additive and flavor enhancer in cheeses....
mugwort extract,Average,There is no research showing this extract has any benefit for skin (Sources:...
mulberry extract,Good,"Non-fragrant plant extract (Latin name is Morus alba) whose various parts such as the leaf and root, have shown potential to brighten and improve the look..."
murumuru seed butter,Good,
myristic acid,Good,Cleansing agent that also creates foam and can be drying.
myristoyl hexapeptide-16,Best,"Myristoyl hexapeptide-16 is a synthetic, fatty acid-linked peptide known to improve skin’s resilience, visibly calm, and help skin look and feel smoother."
myristoyl pentapeptide-17,Best,Myristoyl pentapeptide-17 is a synthetic peptide known to increase skin's hydration and resilience.
myristoyl tripeptide-31,Best,A synthetic peptide made from combining the fatty acid myristic acid with tripeptide-31. This peptide is believed to have a retinol-like effect on skin’s appearance.
myristyl alcohol,Good,"A lighter-weight fatty alcohol that functions as a thickener, emulsion stabilizer, and emollient."
myristyl myristate,Good,Used in cosmetics as a texture enhancer and emollient.
myristyl nicotinate,Best,"A derivative of nicotinic acid, a component of vitamin B3 (niacin) that isn’t the same ingredient..."
myrrh,Poor,Fragrant gum resin that can be a skin sensitizer. There is little research showing it has any benefit...
myrtle extract,Poor,Contains volatile oil and tannins...
Myrtus communis extract,Poor,
N6-furfuryladenine,Average,Technical name for kinetin.
N-acetyl-L tyrosine,Average,
NaPCA,Good,
Narcissus poeticus wax,Poor,Fragrant flower extract that can cause sensitizing reactions…
Nardostachys jatamansi,Good,
Nasturtium officinale extract,Average,
natto gum,Good,Fermentation product of soy protein. It may be a potent antioxidant (Source: Journal of...
natural moisturizing factor (NMF),Best,One of the primary elements in keeping skin feeling and looking healthier…
neem extract,Best,Neem extract has antioxidant and skin-calming benefits and may also help reduce the population of harmful microbes on skin’s surface.
neem oil,Poor,Neem oil contains a chemical known as nimbidin that gives it a sulfur-like odor.
neopentyl glycol dicaprylate/dicaprate,Good,Used as an emollient and texture enhancer.
neopentyl glycol diheptanoate,Good,Mixture of texture-enhancing ingredient neopentyl glycol and grape-derived fatty acid heptanoic acid...
neroli,Poor,
neroli oil,Poor,Fragrant plant oil that can be a skin sensitizer...
nettle extract,Average,Extract that may have soothing properties...
niacin,Best,
niacinamide,Best,"Also known as vitamin B3 and nicotinic acid, niacinamide is a very effective skin-restoring ingredient..."
nicotinamide,Best,
nicotinic acid,Best,
noni juice,Good,"Also known as morinda or Morinda citrifolia, comes from a small evergreen tree. The juice from this..."
nonoxynols,Good,Used as a mild cleansing agent.
nylon-12,Good,Powder substance that is used as an absorbent and texture enhancer...
Nymphaea tetragona,Best,Also known as pygmy waterlily. The stem has been shown to be an antioxidant...
oak root extract,Poor,Extract that can be a skin sensitizer.
oat beta-glucan,Best,
oat bran extract,Best,Oat bran extract is a portion of the oat plant that contains antioxidant and soothing properties...
oat kernel extract,Best,
oatmeal,Best,Can have skin-soothing properties…
octinoxate,Best,Also known as octyl methoxycinnamate and ethylhexyl methoxycinnamate…
octisalate,Best,Technical name for the active sunscreen ingredient octyl salicylate (also known as ethylhexyl...
octocrylene,Best,Globally-approved sunscreen agent that protects skin from the UVB range of sunlight.
octyldodecanol,Good,"Opacifying agent, used primarily as a texture enhancer in moisturizers because of its lubricating and emollient properties."
octyldodecyl myristate,Good,Mixture of octyldodecanol (thickener) and myristic acid that forms a new compound used as a...
octyldodecyl neopentanoate,Good,Skin-softening agent and emollient.
octyl methoxycinnamate,Best,Sunscreen agent used to protect skin primarily from the sun’s UVB rays…
octyl palmitate,Good,Used in cosmetics as a texture enhancer and emollient.
octyl salicylate,Best,Sunscreen agent used to protect skin primarily from the sun’s UVB rays...
octyl stearate,Good,Used in cosmetics as a texture enhancer and emollient.
o-cymen-5-ol,Good,Preservative used in cosmetics.
Oenothera biennis oil,Best,
Olea europaea fruit oil,Good,
Olea europaea oil unsaponifiables,Best,An unsaponifiable oil is the portion of a plant oil that is not broken down when the oil's fatty...
oleanolic acid,Best,"A skin-soothing ingredient, especially when used in synthetic rather than natural form..."
oleic acid,Good,Fatty acid used as a cleansing agent and texture enhancer.
oleth-10,Good,A form of fatty alcohol that functions as a texture enhancer and cleansing agent.
oleths,Good,Mild cleansing agents.
oleyl erucate,Good,"Skin-softening agent derived from oleyl alcohol, which is obtained chiefly from fish oil."
olibanum extract,Poor,
olive oil/olive fruit oil,Good,Emollient plant oil similar to many other non-fragrant plant oils. The concept of olive oil having...
orange blossom,Poor,Fragrant extract that can also be a skin sensitizer.
Orbignya martiana,Good,
Orbignya oleifera,Good,
orchid,Poor,Fragrant flower that can be a skin sensitizer.
oregano,Poor,"Has beneficial properties, but can also be a skin sensitizer."
Origanum majorana,Poor,
Origanum vulgare flower extract,Poor,
orris root,Poor,Used primarily as a fragrant component due to its violet-like scent (Source:...
oryzanol,Good,"Component of plants and their products, such as rice bran, that has potent antioxidant properties."
Oryza sativa cera,Best,"A natural, non-fragrant wax obtained from rice bran. It functions as a skin-softening agent..."
Oryza sativa oil,Good,
oxidoreductase,Best,Large group of enzymes that block oxygen in different forms from generating environmental damage.
oxybenzone,Best,Oxybenzone (also known as benzophenone-3) is a sunscreen agent that protects primarily from the...
ozokerite,Good,"Mineral that is used as a texture enhancer in cosmetics, especially in lipsticks and stick..."
P. elisabethae,Good,The “P.” is short for the genus Pseudopterogorgia.
PABA,Poor,
padimate O,Average,"Sunscreen agent that protects skin primarily from the sun’s UVB rays (Source: Skin Therapy Letter,..."
Padina pavonica extract,Good,
Paeonia albiflora extract,Average,
Paeonia suffruticosa extract,Average,
Palmaria palmata extract,Good,Extract from a type of algae whose common name is dulse.
palmarosa oil,Poor,
palmitic acid,Good,Blend of the fatty acid palmitic acid with several amino acids…
palmitoyl hexapeptide-12,Best,Blend of the fatty acid palmitic acid with several amino acids…
palmitoyl oligopeptide,Best,"A blend of palmitic acid (a fatty acid) with several amino acids, including alanine, arginine,..."
palmitoyl pentapeptide-4,Best,"Trade name Matrixyl, a fatty acid mixed with amino acids. The only research showing this has any..."
palmitoyl tetrapeptide-7,Best,A synthetic peptide whose trade name is Matrixyl 3000…
palmitoyl tripeptide-1,Best,Palmitoyl tripeptide-1 is a synthetic fatty acid-linked peptide that can help repair visible skin damage and strengthen skin’s underlying supportive elements.
Palmitoyl Tripeptide-38,Best,An ingredient manufactured by the brand Sederma under the trade name MATRIXYL synthe’6...
palmitoyl tripeptide-5,Best,A synthetic peptide that  is believed to play a role in the appearance of skin firmness...
palmitoyl tripeptide-8,Best, 'A plant-derived or synthetic peptide made from combining the fatty acid palmitic acid with...
palm kernel acid,Good,"A mixture of fatty acids derived from palm oil. Used as a cleansing agent, emulsifier, or to add..."
palm oil,Best,Has emollient and antioxidant properties for skin.
Panax ginseng root extract,Best,"Ginseng is a popular herbal supplement. When applied topically it delivers antioxidant benefits, boosts hydration, and helps visibly improve signs of skin aging."
Panicum miliaceum,Average,
pansy extract,Average,Extract for which there is a small amount of research showing it has skin soothing and...
pantethine,Good,Also known as pantothenic acid.
panthenol,Best,Alcohol form of the B vitamin pantothenic acid.
pantothenic acid,Best,"Also called vitamin B5, and often touted for a variety of benefits to skin. However, there is only one..."
papain,Poor,"Enzyme extracted from papaya. Applied topically, papain can aggravate skin..."
papaya extract,Average,"Extract that is the source of papain, which theoretically can have exfoliating properties on skin,..."
para-aminobenzoic acid (PABA),Poor,Sunscreen ingredient rarely used since the 1990s because of strong potential for sensitizing reactions.
parabens,Good,"Group of preservatives, including butylparaben, propylparaben, methylparaben, and ethylparaben,..."
paraffin,Good,"Waxy, petroleum-based substance used as a thickener in cosmetics."
Paraffinum liquidum,Good,"The Latin name for emollient ingredient mineral oil, also known as liquid paraffin."
Parsol 1789,Best,
Passiflora edulis extract,Good,The layperson term for this Brazilian-based plant oil is passion fruit…
Passiflora edulis seed oil,Best,"Non-fragrant plant oil from the passion fruit plant, and a rich source of fatty acids and antioxidants..."
passion fruit extract,Good,There is no research showing this has any benefit for skin.
patchouli,Poor,Fragrant oil derived from mint. It contains eugenol and can aggravate skin.
pawpaw extract,Average,
PCA,Good,"PCA (which stands for pyrrolidone carboxylic acid), is an ingredient derived from amino acids that serves as a humectant and is part of the natural moisturizing factor."
peanut oil,Good,Emollient plant oil similar to all nonfragrant plant oils.
pecan oil,Good,Emollient plant oil similar to all nonfragrant plant oils.
pectin,Good,"Natural substance found in plants, especially apples, and used in cosmetics as an emulsifier and..."
PEG/PPG-17/6 copolymer,Good,PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.
PEG/PPG-18/18 dimethicone,Good,PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.
PEG/PPG-18/4 copolymer,Good,A synthetic polymer compound that functions as a solvent.
PEG/PPG-20/15 dimethicone,Good,PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.
PEG-100 stearate,Good,
PEG-10 dimethicone,Good,
PEG-10 dimethicone/vinyl dimethicone crosspolymer,Good,"A synthetic, silicone-enhanced polymer that helps products adhere…"
PEG-10 phytosterol,Good,A synthetic or soy-derived (Paula’s Choice Skincare uses the latter) ingredient used in cosmetics as a cleansing agent and emulsifier.
PEG-10 rapeseed sterol,Good,A blend of polyethylene glycol (PEG) and the fatty acid component of the rapeseed plant. Used as a...
PEG-120 methyl glucose dioleate,Good,
PEG-12 dimethicone,Good,
PEG-12 glyceryl dimyristate,Good,A skin-replenishing ingredient that is a polymer of ethylene oxide.
PEG-14,Good,A synthetic ingredient that functions as a humectant and solvent. With any PEG...
PEG-150 distearate,Good,
PEG-20 methyl glucose sesquistearate,Good,"A complex mixture of a glycol with a fatty acid and glucose that funtions multiple ways: emollient,..."
PEG-32,Good,"Peg-32 also functions as an emulsifier, which is a type of ingredient that keeps unlike substances..."
PEG-33,Good,The synthetic polymer of ethylene oxide used as a binding agent and humectant.  With any PEG...
PEG-40 hydrogenated castor oil,Good,Emollient ingredient that is a mixture of polyethylene glycol (PEG) with castor oil.
PEG-40 stearate,Good,"PEG-40 stearate typically functions as a cleansing agent, but also helps keep ingredients..."
PEG-60 almond glycerides,Good,The polyethylene glycol derivative of fatty acids from almond oil...
PEG-60 hydrogenated castor oil,Good,The chief function of this ingredient is cleansing agent.
PEG-75 shea butter glycerides,Good,An emulsifying and skin replenishing agent derived from glycerides (fatty acids)...
PEG-7 glyceryl cocoate,Good,
PEG-8,Good,
PEG-80 sorbitan laurate,Good,Mild surfactant.
PEG-8 dimethicone,Good,A synthetic skin and hair replenishing agent...
PEG 90M,Good,
PEG compound,Good,PEG is the acronym for polyethylene glycol. Various forms of PEG compounds are mixed with fatty...
Pelargonium graveolens oil,Poor,
pellitory,Poor,Plant whose root extract can cause skin sensitivity.
pentadecalactone,Poor,Synthetic fragrance used in cosmetics.
pentaerythrityl tetraisostearate,Good,A non-aqueous ester that functions as a thickener and binding agent...
pentaerythrityl tetraoctanoate,Good,Synthetic compound as an emollient and thickening agent.
pentapeptides,Best,"Pentapeptides are a type of peptide where the peptide has five (""penta"") amino acids. There are dozens of pentapeptides used in cosmetic products."
pentasodium pentetate,Good,Used as a chelating agent in cosmetics to prevent various mineral components from binding together...
pentylene glycol,Good,A synthetic skin-replenishing agent and solvent.
peppermint,Poor,Both the oil and the extract can have disinfectant properties...
peptides,Best,"Peptides are portions of short or long-chain amino acids, and amino acids are the building blocks of protein. Skin..."
Perilla ocymoides,Average,"Also known as beefsteak plant. Like many plants, the leaves contain flavones which help the plant..."
Persea gratissima oil,Best,
Persicaria hydropiper,Best,Also known as water pepper. All parts of this plant extract have been shown in vitro to be not only...
petitgrain mandarin,Poor,
petrolatum,Good,"Vaseline is pure petrolatum, and petrolatum is a rich emollient and FDA-approved skin protectant."
Peucedanum graveolens (dill) extract,Best, 'A plant extract with research showing it can improve skin’s resiliency and work as an antioxidant. Dill also has a calming action on sensitized skin...
PHA,Best,
phenoxyethanol,Good,Common cosmetic preservative that is considered one of the less sensitizing ones to use in...
phenoxyisopropanol,Good,Alcohol used as a solvent and preservative.\xa0
phenylalanine,Good,
phenylethyl resorcinol,Average,Synthetic antioxidant often seen in skin-brightening products.
phenyl trimethicone,Good,Silicone with a drier finish than dimethicone.
phloretin,Best,A flavonoid substance derived from apples and the bark of apple trees. As for topical application...
phosphatidylcholine,Best,Active ingredient in lecithin…
phosphatidylethanolamine,Best,
phospholipid,Best,"Type of lipid (fat) composed of glycerol, fatty acids, and phosphate. Phospholipids are essential..."
phosphoric acid,Good,Used as a pH adjuster in cosmetics and skincare products.
photosensitizer,Poor,Ingredient that can cause the skin to have a sensitizing reaction when exposed to...
phthalates,Average,Phthalates refers to a wide range of substances that are very different from one another...
Phyllanthus emblica fruit extract,Best,Extract that has antioxidant and soothing properties…
physalis angulata extract,Best,This plant extract has a potent calming effect on skin.
phytantriol,Good,Hair- and skin-conditioning agent that also has water-binding properties.
phytic acid,Good,Component of plants that has antioxidant properties.
phytonadione,Good,One form of vitamin K.
phytosphingosine,Best,"Long-chain, complex fatty alcohol that functions as a water-binding agent and also has preservative..."
phytosterol,Best,Cholesterol-like molecules found in all plant foods; the highest concentrations are found in...
phytosteryl/octyldodecyl lauroyl glutamate,Best,"Phytosteryl/octyldodecyl lauroyl glutamate, a mix of amino acids and plant-based sterols, functions in cosmetics as an emollient and skin-conditioner."
Picea abies extract,Best,Latin name for Norway spruce. Research has shown its bark...
pineapple extract,Good,"Contains the enzyme bromelain, which can break down the connecting layers between dead skin to..."
pinecone extract,Good,"Components of this extract, specifically linolenic and linoleic acids, can have antioxidant..."
pine oil,Poor,It can aggravate skin and should never be used on abraded or chafed skin…
Pinus lambertiana wood extract,Poor,Pine extract that may aggravate skin...
Pinus sylvestris extract,Good,
Piper nigrum,Poor,
pistachio seed oil,Good,Emollient plant oil with uses similar to peanut oil in cosmetics.
Pistacia vera seed oil,Good,
Pisum sativum,Good,"Latin name for the garden pea. It does have antioxidant activity, but there is no research showing..."
plankton extract,Good,"A marine species known as Thalasso plankton and derived from various algae, seaweed, or marine skeletons..."
plasticizing agents,Average,Ingredients that place a thin layer of plastic over the skin. Typically these are used in facial...
plum extract,Good,Extract of Prunus americana\xa0that may have antioxidant activity when applied topically (Source:...
plum seed oil,Best,"Plum (Prunus domestica) seed oil, also known as plum kernel oil, is non-fragrant oil…"
Pogostemon cablin,Poor,
poloxamer 184,Good,A synthetic polymer that functions as a cleansing agent.
Poloxamer 407,Good,Liquid polymer that functions as a surfactant. This ingredient can also keep unlike ingredients...
poloxamers,Good,
polyacrylamide,Good,
polyacrylate-17,Good,
polyacrylate crosspolymer,Good," ""A synthetic polymer that functions to protect skin's surface, thicken products, and help keep cosmetic..."""
polyaminopropyl biguanide,Good,Synthetic polymer that functions as a preservative.
polybutene,Good,Polymer derived from mineral oil and used as a thickener and lubricant.
polyethylene,Good,A form of plastic (synthetic polymer) that has numerous functions in cosmetic products. Rounded...
polyethylene glycol,Good,"Also listed as PEG on ingredient labels, polyethylene glycol is an ingredient that self-proclaimed..."
polyglucuronic acid,Good,
polyglycerol monostearate,Good,Used as an emollient and thickening agent in cosmetics.
polyglyceryl-10 laurate,Good,A plant-derived or synthetic ester of lauric acid and the synthetic polymer polyglycerin-10.
polyglyceryl 2 triisostearate,Good,A mixture of the fatty acid Isostearic acid and a form of glycerin that functions as a...
polyglyceryl-3 beeswax,Good,The ester of fatty acids from beeswax and polyglycerin-3 that functions as a surfactant and...
polyglyceryl-3 methylglucose distearate,Good,
polyglyceryl-3 rice branate,Best,An ingredient that serves as a surfactant and emulsifier and is a derivative of the fatty acids that come from rice bran oil.
polyglyceryl-4 isostearate,Good,The ester of isostearic acid and polyglycerin-4 that functions as an emollient and can also be a...
polyglyceryl-6 isostearate,Good,The ester of isostearic acid and a form of glycerin. Functions as an emollient and an emulsifier in...
polyglyceryl methacrylate,Good,
polyhydroxy acid,Best,Ingredients such as gluconolactone and lactobionic acid are types of polyhydroxy acid (PHA). They...
polyhydroxystearic acid,Good,Synthetic polymer related to stearic acid. It functions as a suspending agent.
polyisobutene,Good,A polymer of the hydrocarbon isobutylene obtained from petroleum oil. It functions as a thickening...
polymer,Good,A word that literally means “many parts.” Any of numerous compounds having a high molecular weight...
polymethylsilsesquioxane,Good,A polymer formed from the condensation and hydrolysis of the silicone methyltrimethoxysilane.
polypropylene glycol,Good,"Also known by the acronym PPG, polypropylene glycol is..."
polyquaternium-10,Good,
polyquaterniums,Good,Group of ingredients used primarily in hair-care products for their antistatic and film-forming...
polysaccharide,Best,Natural component of skin that can be a good water-binding agent and potentially have antioxidant...
polysilicone-11,Good,"Specialized, synthetic crosslinked siloxane that functions as a film-forming agent and polymer."
polysorbate 20,Good,
polysorbate 60,Good,
polysorbate 80,Good,
polysorbates,Good,"Large group of ingredients most often derived from lauric acid, which is derived from coconuts...."
polyvinyl alcohol,Average,"A synthetic polymer of vinyl alcohol that functions in cosmetics as a gel-based thickener, film-forming, and binding agent."
polyvinylpyrrolidone,Good,"Usually listed on ingredient labels as PVP or PVP copolymer, it is one of the primary ingredients..."
pomegranate extract,Best,"Pomegranate and its extracts have antioxidant properties that, while not conclusively demonstrated on human skin"
Pongamia glabra seed oil,Best,"Oil derived from the seeds of the Millettia pinnata tree, a plant native to South and Southeast Asia..."
Poria cocos extract,Best,"Also known as Hoelen and Fu ling. Extract derived from a mushroom, which has antioxidant and..."
Porphyridium cruentum extract,Average,Extract derived from a type of red algae. There is research showing components of red algae contain...
Portulaca oleracea extract,Best,Extract that may have soothing properties...
potassium,Good,Important element in diet that is present in such fruits as bananas and citrus. It is also an earth...
potassium ascorbyl tocopheryl phosphate,Best,Blend of vitamins C and E with phosphorus that functions as an antioxidant.
potassium cetyl phosphate,Good,Used as a detergent cleansing agent.
potassium hydroxide,Average,"Also known as lye, a highly alkaline ingredient used in small amounts in cosmetics to modulate the..."
potassium myristate,Average,Detergent cleansing agent that is a constituent of soap; it can be drying and aggravate skin for some...
potassium phosphate,Good,An inorganic (not composed of plant or animal matter) salt used as a buffering agent and pH...
potassium sorbate,Good,"Used as a preservative, almost always used in conjunction with other preservatives."
PPG-12/SMDI copolymer,Good,A copolymer that serves as a film-forming agent...
PPG-12 buteth-16,Good,Versatile ingredient composed of several non-volatile alcohols. Functions as a skin-conditioning...
PPG-14 butyl ether,Good,Used as a hair- and skin-conditioning agent.
PPG-20 methyl glucose ether,Good,"A synthetic ingredient that funtions as hair- and skin-replenishing agent. The ""PPG"" designation..."
PPG-26-Buteth-26,Good,"PPG stands for polypropylene glycol,  and this ingredient combines PPG with a fatty alcohol...."
PPG-2-deceth-30,Good,An emulsifying agent partially derived from a fatty alcohol.
PPG-2 myristyl ether propionate,Good,"Mixture of glycols and fatty alcohols used as a skin-conditioning agent and, in some cases, as a..."
PPG-3 benzyl ether myristate,Good,An emollient that has a silicone-like feel and multiple functions in cosmetic products...
preservatives,Good,Substances used in cosmetics to help defend against contamination of products...
proline,Good,
propanediol,Good,A glycol that can enhance the absorption of ingredients…
propolis,Good,"Brownish, resinous material that is collected by bees and used to construct the hive. It has..."
propylene carbonate,Good,Liquid used as a solvent and film-forming agent.
propylene glycol,Good,"Along with other glycols and glycerol, propylene glycol is a humectant (hydrating) and delivery ingredient..."
propylene glycol dicaprylate/dicaprate,Good,A gel-textured ingredient used in many lightweight moisturizers. It is a mix of propylene glycol...
propylene glycol isostearate,Good,A mixture of propylene glycol and isostearic acid. See both. This ingredient is used as an...
propylene glycol laurate,Good,"The ester of propylene glycol and lauric acid, which is a constituent of many vegetable fats."
propylene glycol stearate,Good,Mixture of propylene glycol and stearic acid used as a skin-conditioning agent and emulsifier.
propyl gallate,Best,"An ester of gallic acid that is an antioxidant, and helps protect fats and oils used in cosmetics products from becoming rancid..."
propylparaben,Good, 'Parabens are a group of controversial preservatives that include butylparaben...
Prunella vulgaris,Average,
Prunus americana,Good,
Prunus amygdalus dulcis,Good,
